popularity,profit_adj,profit,budget,revenue,original_title,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit_or_loss
32.985763,1254445953.243774,1363528810,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238,profit
28.419936,210161353.20900503,228436354,150000000,378436354,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031,profit
13.112507,170419069.93560898,185238201,110000000,295238201,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628,profit
11.173104,1718723210.761785,1868178225,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182,profit
9.335014,1210948878.382487,1316249360,190000000,1506249360,Furious 7,James Wan,137,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052,profit
9.1107,366114301.669707,397950503,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731,profit
8.654359,262755138.427739,285603537,155000000,440603537,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766,profit
7.6674,448389698.02853286,487380321,108000000,595380321,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152,profit
7.40416499999999,996112046.7506969,1082730962,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551,profit
6.326804,624411645.538876,678708609,175000000,853708609,Inside Out,Pete Docter,94,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907,profit
6.200282,584820382.9590319,635674609,245000000,880674609,Spectre,Sam Mendes,148,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075,profit
6.189369,7348699.166572005,7987720,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802,profit
6.118847,20119852.027265098,21869414,15000000,36869414,Ex Machina,Alex Garland,108,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677,profit
5.984995,143186060.7181324,155637091,88000000,243637091,Pixels,Chris Columbus,105,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748,profit
5.944927,1035032450.2257209,1125035767,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177,profit
5.8984,102819262.3995242,111760117,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332,profit
5.749758,255549597.6381765,277771424,48000000,325771424,Taken 3,Olivier Megaton,109,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785,profit
5.573184,357513832.653913,388602163,130000000,518602163,Ant-Man,Peyton Reed,115,Science Fiction|Action|Adventure,Marvel Studios,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936,profit
5.556818,411563063.6722511,447351353,95000000,542351353,Cinderella,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268,profit
5.476958,451281354.276204,490523427,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232,profit
5.462138,17512806.85436502,19035668,190000000,209035668,Tomorrowland,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398,profit
