popularity,profit,budget,revenue,original_title,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
32.985763,1363528810,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Action,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
32.985763,1363528810,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Adventure,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
32.985763,1363528810,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Science Fiction,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
32.985763,1363528810,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
28.419936,228436354,150000000,378436354,Mad Max: Fury Road,George Miller,120,Action,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
28.419936,228436354,150000000,378436354,Mad Max: Fury Road,George Miller,120,Adventure,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
28.419936,228436354,150000000,378436354,Mad Max: Fury Road,George Miller,120,Science Fiction,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
28.419936,228436354,150000000,378436354,Mad Max: Fury Road,George Miller,120,Thriller,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
13.112507,185238201,110000000,295238201,Insurgent,Robert Schwentke,119,Adventure,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628
13.112507,185238201,110000000,295238201,Insurgent,Robert Schwentke,119,Science Fiction,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628
13.112507,185238201,110000000,295238201,Insurgent,Robert Schwentke,119,Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628
11.173104,1868178225,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Action,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
11.173104,1868178225,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Adventure,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
11.173104,1868178225,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Science Fiction,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
11.173104,1868178225,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
9.335014,1316249360,190000000,1506249360,Furious 7,James Wan,137,Action,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
9.335014,1316249360,190000000,1506249360,Furious 7,James Wan,137,Crime,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
9.335014,1316249360,190000000,1506249360,Furious 7,James Wan,137,Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
9.1107,397950503,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
9.1107,397950503,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Drama,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
9.1107,397950503,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Adventure,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
9.1107,397950503,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
8.654359,285603537,155000000,440603537,Terminator Genisys,Alan Taylor,125,Science Fiction,Paramount Pictures|Skydance Productions,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
8.654359,285603537,155000000,440603537,Terminator Genisys,Alan Taylor,125,Action,Paramount Pictures|Skydance Productions,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
8.654359,285603537,155000000,440603537,Terminator Genisys,Alan Taylor,125,Thriller,Paramount Pictures|Skydance Productions,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
8.654359,285603537,155000000,440603537,Terminator Genisys,Alan Taylor,125,Adventure,Paramount Pictures|Skydance Productions,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
7.6674,487380321,108000000,595380321,The Martian,Ridley Scott,141,Drama,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152
7.6674,487380321,108000000,595380321,The Martian,Ridley Scott,141,Adventure,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152
7.6674,487380321,108000000,595380321,The Martian,Ridley Scott,141,Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152
7.40416499999999,1082730962,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Family,Universal Pictures|Illumination Entertainment,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
7.40416499999999,1082730962,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Animation,Universal Pictures|Illumination Entertainment,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
7.40416499999999,1082730962,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Adventure,Universal Pictures|Illumination Entertainment,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
